Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
156800,185200,156800,166200,198300,164500
156900,177600,161500,165900,189700,184500
156900,142900,170500,159700,197800,188500
157500,153900,140600,129400,140500,155600
157600,149700,165800,151600,154300,158000
157600,161300,167000,206900,257200,218800
157700,166000,164400,152100,175500,179200
157700,177700,156900,165500,167400,165100
157800,184900,178600,234300,255900,245000
158100,139700,171400,147700,185300,200400
158200,153400,167100,225900,231400,215600
158400,155100,160300,209600,237700,229600
158700,165900,165400,142200,169500,146500
158800,178500,166300,161700,162800,168700
158800,155100,154700,163300,191100,164800
158800,142700,150400,156600,162300,147000
159000,167100,171100,165300,183100,188500
159100,135000,151000,155100,140900,156700
159300,154300,169700,131600,160700,188700
159400,148700,165200,160200,151900,159800
159500,172800,181500,174600,176600,174000
159700,157300,143500,244900,246900,262200
159800,195100,164300,157800,162600,172800
159800,165000,174800,159400,174700,173200
160300,173500,191900,251700,247400,283500
160400,171600,158700,154200,143700,170500
160500,160200,151000,154700,159300,151700
160600,156100,160200,213300,219100,228600
160800,160000,143400,146900,157200,149800
160800,145200,180800,161900,189800,197100
160900,151500,181000,148000,171600,172300
161300,178900,179400,161400,182400,201300
161400,147800,174600,165100,152200,148400
161400,150300,165600,122700,195100,210300
161400,173600,160800,172300,160800,163500
161700,150400,156700,162300,147400,161700
161800,210900,179500,180100,176600,195000
161900,150700,166200,162100,173000,158700
162100,167100,166400,159300,176000,178400
162100,164200,157400,167700,165000,180200
162300,175100,168300,171600,175700,181800
162300,168500,206300,175700,201700,211000
162400,139300,147600,235800,241000,217600
162500,173800,168400,169200,170400,168600
162700,171900,164800,172400,177200,195700
162900,155200,144600,158200,164400,182000
163000,159800,157200,156100,158100,165200
163000,167500,164000,183700,193300,197100
163100,192100,212700,327300,294100,371600
163200,187300,162700,173200,161500,174400
163700,167000,171800,240600,255000,242700
163800,169100,164300,152500,170500,147100
163800,173800,182500,206500,228500,240700
164100,145500,170000,173500,183500,160900
164400,180700,197200,199900,226800,215300
164400,163600,161000,162700,165100,168600
164500,157900,167500,159400,173800,182200
164500,173900,190200,209100,248800,230800
164500,159600,168400,142500,145100,148500
164900,166600,161700,171800,168000,167700
165300,179500,162500,158400,168000,174000
165400,152500,168300,180700,162800,155100
165400,166700,196300,159800,195700,222900
165800,169800,169800,163300,184500,192900
166000,194700,180200,168600,201100,191000
166100,160300,198400,259200,264400,271600
166400,173400,190400,131400,172400,151800
167100,174400,160100,154000,171500,164200
167200,166000,163500,163700,175600,162600
167300,241300,182000,207000,198700,208300
167500,177400,188000,178500,190400,191200
167600,151200,147000,170000,148600,163100
167700,169900,178100,173700,184000,189000
168000,173900,159800,198900,190000,196300
168100,142600,163900,153300,169000,180100
168100,181900,185700,165600,170500,170100
168300,158000,164300,173300,160400,175700
168600,185400,185600,194000,207400,201600
168800,190800,182900,182600,190700,194900
169000,174600,171300,176200,179500,173900
169500,180800,182400,180700,188100,175500
169700,163600,168300,171700,184100,180700
169800,133600,143500,127700,150500,135600
170000,176000,166800,168400,179900,182600
170100,162600,145700,144500,171500,173600
170400,176600,184900,161500,158800,178200
170600,172800,170800,175800,189300,180500
171100,197100,209300,208200,190500,173900
171200,175500,214800,208500,213300,245600
171300,167700,174500,146100,162700,177000
172000,198500,173000,177900,187600,187500
172200,199900,188800,194100,183700,204500
172300,157500,182500,175700,182100,213900
172800,186600,195000,193800,191800,193300
172900,202700,189400,166500,184000,202400
173300,170600,173200,179800,178600,183800
173600,177200,176700,159100,193200,171900
173800,166200,180300,154800,188400,174500
173900,182500,195000,257800,267200,271200
174100,175200,156200,173700,169000,145600
174300,331700,178200,202600,196500,219500
174300,180700,181600,174600,189900,195900
174400,200600,174800,171700,169200,164100
174500,177600,171900,163600,186600,183700
174900,165700,171100,171000,176300,177800
175000,177000,185100,174400,166100,175500
175100,169000,166600,232600,228300,235600
175200,168700,175300,175100,181800,185700
175300,191600,174500,237900,170100,193000
175300,199500,241000,255700,282200,357200
175300,155200,150100,172600,161000,184200
175600,172100,178300,181200,163900,183200
176000,136800,168300,152600,166800,125500
176200,192100,172800,164100,166500,176400
176200,184500,179700,155700,185900,184400
176400,179500,158900,151300,150600,182000
176600,161700,178800,163700,181600,259100
176600,136200,158600,209600,197200,217300
