Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
343.1,281.8,336.3,200.3,95.6,36.3
9783.9,10011.2,8949.1,4960.1,2631.2,1038.9
1758,4248.2,1704.4,798.7,461.3,364.4
1337838.5,1525000.2,1374080.8,913134,380016.4,66424.8
251461,290360.2,257408.3,192939.3,82825.6,12734.5
20981.2,22430,17745.9,7798.6,5909.5,2083.7
55495,51844.8,44751.7,18194.7,12775.9,3786.4
15538.2,15031,13350.8,5703.3,4052.3,1638.3
62999.8,66160.3,56461.6,26668.4,21121.2,10830.7
3322.9,3210.3,2772.6,1093.9,843.5,211.9
1862.5,1840.1,1778.7,869.9,682.6,342.5
4517.3,4719.7,3945.8,1589.1,1079.2,353.7
14227.2,15802.5,12137.8,5177.2,3786.4,1203.4
74289.4,73036.5,60552,23751.6,18059.4,5251.5
32947.1,35935.2,28516.2,10715,7920.1,3332.9
50592.9,50144.2,43175.5,17838.6,11765.9,4396.1
24165.6,24082.1,21276.2,10016.7,6925.3,2704.7
376904.1,407807.2,377643.5,250251.3,155781.2,24599.5
1016,1007.2,931.7,429,400.9,215.8
22657.2,21986.4,19318.3,8497.5,5682.9,1572.8
6464,6999.9,6002,2703,1963.3,689.7
17281.4,17368.4,14451,5705.8,4500.6,1488.5
19478.3,18062.6,16392.6,7199.8,5294.6,1997.9
4957.6,5210.8,4419.8,1997.3,1410,509.7
110812.4,117755.1,101136.1,41989.6,25110.2,7186.8
9482.7,9813,8038.4,3816.8,2809.6,1147.8
1022.9,957.9,965.9,458,340.3,130.8
88094.3,88632.1,75102.9,26060.2,17739.1,5545
5657.4,5727.9,5892.9,4314.3,4296.9,3040.6
1286,284.5,861.5,302.8,268.3,54.2
3276.2,3711.7,3731.9,2253.6,2347.6,1651
5067.5,6419.6,6328.2,5171.6,5947.9,4459.1
1646.2,1859.3,1552.6,818.9,356,106.2
600.2,590.6,499.8,188.1,117.2,43.8
1254,1265.9,1144,563.4,447.9,238.3
7370.6,7231.6,6828.2,3794.2,3203.2,2399.9
2486.9,2106.5,2765.3,1701.8,1032.1,304.8
3010.2,2522,2692.1,1400,771.2,298.4
5386.6,5739.6,5010.2,2744.9,2417.6,1485.1
13860.6,12757.4,11635.3,4402.7,2623.6,995.6
7122.8,6921.3,7434.2,4112.7,2619.6,1509.2
53634.8,55275.7,51078.7,27901.6,11998.7,4413
202363.4,217460.7,197293.8,96969.4,41669.5,14355.5
103546,108190.1,88345.2,33977,21680.3,6705.2
368.3,274.6,391.5,202.4,125.4,60.3
25460.8,23725.7,25360.9,19137.9,19185.6,15998
453.3,330.1,456.7,273.5,180.3,126.7
1857.6,2141.5,1930.9,1660.6,1683.6,1431.8
3716.5,3792.1,3411.7,1742,1000.3,383.5
4654.7,4307,3753.9,1803,1027.1,399.3
4013.5,4026.9,3587.6,2028.6,1027.4,295.3
33060,31250.3,26166.3,10369.8,7765.4,2410.9
69539.2,70627.4,63293.8,29691.4,22419.4,6333.1
12775.4,12849.2,12054.8,7448.8,6635.7,1752.5
8989.9,9043.8,8741.9,3670.9,2096.8,940.6
6917,6673.3,5779.6,2600.4,2181.2,774.6
1306.6,1293,1191.2,561,423.9,152.7
4077.9,4036.6,3421.1,1294,1064.8,423.4
15205.5,15413.4,15113.5,9112.7,8039.5,5564.8
4358,5002.1,4671.6,3465.4,3298.8,2659.5
11406.7,10793,10312.9,6143.6,5877.3,4328.2
7423.4,8088.4,8080.6,5678.4,5977.3,5019.1
5230.1,5818.7,4836,2218.3,1646.4,312.1
12329.7,12793.4,12636.1,6969.2,5771.6,3750
8029.2,10430.7,8128,4833.2,3941.1,2652.1
