TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
1866736.753,2178773.715,21615049.59,22119188.78,3656593.823,5644148.686,19258171.87,21277283.27,9453129.663,11375860.77
6167.980663,7773.310708,87553.8176,85774.358,16404.02062,21983.59978,91950.86525,100238.3168,38057.32527,47715.54275
7628001.745,5199903.054,92017591.84,84888173.38,16351422.71,17121045.04,80517206.9,84320362.01,41179664.95,42385992.17
225095.7446,257921.5059,2784000.086,2979938.831,516669.6843,591251.6385,2667830.264,2800532.755,1219728.104,1290995.586
166820.318,143811.2346,1815560.553,1783769.627,346768.0036,374313.4604,1646857.066,1663745.631,832841.8705,844150.7159
7732190.898,5408378.235,88137213.7,81328695.23,15702489.2,17244672.54,76560581.69,77205608.65,38005388.65,42267085.53
1387489.187,1135089.335,16446045.69,15073071.26,2670717.559,3102197.99,14509106.78,14209663.78,7268666.952,7095070.401
1345857.108,1105573.772,14829938.98,16005384.09,1579818.267,3715955.985,13378060.14,15341371.44,6484111.442,8377564.843
37047.28875,28568.59387,531583.4928,503952.7504,88701.97048,97704.23623,469657.8561,522743.5862,224119.2444,252853.9502
59300.13076,87483.80306,463989.4169,489401.498,95885.50977,147068.2362,464216.9407,485272.6318,222958.1206,317323.9915
14497235.76,9482453.342,158253625.6,147023448.6,26262700.71,28805987.68,138295170.8,139636293.5,70499904.31,73847217.18
1528806.898,1216076.068,18290314.02,17922867.07,3356928.718,3880007.982,15828676.82,17323579.87,8161495.769,8776912.776
433110.118,661767.2733,4638987.081,5332100.574,758833.4367,1848482.706,4218963.279,5106312.399,2056164.612,3624512.724
3215751.583,2453811.178,38916127.22,37710168.42,7216349.611,7664333.593,34739490.51,37523201.64,17607763.3,18366387.33
3354303.184,3112401.554,37484176.89,38237310.85,6412301.176,8397663.091,33035603.87,37063414.51,16733130.14,18655744.39
609691.0837,624576.7304,7085841.498,6701168.367,1252100.123,1524099.223,6370047.805,6667620.326,3049033.093,3387582.022
457964.6619,644509.353,5385576.587,5836405.39,1042981.964,1245565.669,4913919.454,5249749.378,2425148.916,2830934.615
52259.9391,47196.64649,632829.7189,578823.5379,132313.318,151098.4281,543297.6173,571275.6798,268136.2429,295808.5678
7516700.328,11779226.65,92786076.54,104295192.6,16289565.39,28991407.99,80892517.12,97862556.57,42456511.4,58141475.58
