Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.1137,-0.2179,0.1467,0.0887,0.0466,0.1007
-0.2476,ND,-0.2749,ND,ND,ND
0.0759,0.0759,-0.0237,0.0384,0.1095,-0.0458
ND,ND,ND,ND,0.0096,0.1839
ND,ND,ND,-0.5394,0.0182,0.1195
ND,ND,0.184,ND,ND,ND
0.1452,0.1137,-0.0274,0.1307,0.1238,0.0363
ND,ND,-0.1357,0.1043,-0.1314,0.282
ND,ND,ND,0.1607,ND,ND
ND,ND,ND,-0.147,0.1764,-0.2858
0.024,0.1328,-0.0762,ND,ND,ND
0.2777,ND,ND,0.0807,-0.0249,ND
0.2886,0.0571,0.2142,0.0947,0.1186,0.1539
-0.0453,ND,ND,-0.0321,ND,ND
ND,ND,ND,ND,ND,-0.2597
-0.1522,0.1623,-0.1208,ND,ND,ND
0.0975,0.2314,-0.1678,-0.0961,ND,-0.3113
ND,ND,-0.1492,ND,ND,ND
-0.1232,0.2099,-0.2652,-0.1867,0.1511,-0.5016
